[2020-11-15 00:49:24.124 (UTC+0100)] */*	No port defined, using default port 4840
[2020-11-15 00:49:24.155 (UTC+0100)] */*	Connection 4 | SecureChannel 4292871332 | Opened SecureChannel with SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[2020-11-15 00:49:24.155 (UTC+0100)] */*	Client Status: ChannelState: Open, SessionState: Closed, ConnectStatus: Good
[2020-11-15 00:49:24.169 (UTC+0100)] */*	Selected Endpoint opc.tcp://CX-18EC19:4840 with SecurityMode None and SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[2020-11-15 00:49:24.169 (UTC+0100)] */*	Selected UserTokenPolicy Anonymous with UserTokenType Anonymous and SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[2020-11-15 00:49:24.179 (UTC+0100)] */*	Client Status: ChannelState: Open, SessionState: Created, ConnectStatus: Good
[2020-11-15 00:49:24.197 (UTC+0100)] */*	Client Status: ChannelState: Open, SessionState: Activated, ConnectStatus: Good
[2020-11-15 00:49:24.208 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.208 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.208 (UTC+0100)] */*	N) 0         61               FolderType       FolderType      

[2020-11-15 00:49:24.208 (UTC+0100)] */*	N) 0         2253             Server           Server          

[2020-11-15 00:49:24.216 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.223 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.230 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.238 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.245 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.254 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.261 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.268 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.275 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.282 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.288 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.295 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.302 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.309 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.316 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.324 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.339 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.348 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.355 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.362 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.370 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.377 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.385 (UTC+0100)] */*	Browse Args
[2020-11-15 00:49:24.391 (UTC+0100)] */*	Browse Args
